team	year	number	position	name	games_played	points	minutes	goals	assists	shots	fouls
Reading United AC	2010	8	D	Bibbs, Nicholas	13		702	0	0	1	5
Reading United AC	2010	2	M	Black, Derek	1		6				
Reading United AC	2010	13	M	Detzel, Eric	13	6	657	1	4	8	7
Reading United AC	2010	9	GK	Devaux, Kris	1		90				
Reading United AC	2010	15	F	Dixon, Hugh	7	4	391	2	0	13	1
Reading United AC	2010	2	M	Frimpong, Evans	9	3	416	0	3	8	9
Reading United AC	2010	14	D	Gaddis, Raymon	8	2	720	1		3	8
Reading United AC	2010	16	GK	Goodwin, Joseph	3		114	0	0	0	0
Reading United AC	2010	7	D	Hedges, Matthew	14	4	1155	2	0	9	4
Reading United AC	2010	11	M	Hertzog, Corey	8	9	515	4	1	20	2
Reading United AC	2010	5	M	Hogan, Stephen	12		1015	0	0	10	9
Reading United AC	2010	70	F	Houapeu, Aquilas Levi	8	5	490	2	1	10	5
Reading United AC	2010	4	M	Mulholland, Luke	14	12	1141	4	4	30	16
Reading United AC	2010	12	M	Murphy, Martin	1		12	0	0	0	0
Reading United AC	2010	2	M	Pezon, Geoff	3		82			4	
Reading United AC	2010	21	D	Ports, Jon	2	2	180	1	0	2	3
Reading United AC	2010	20	D	Quinn, Gerard	13	1	1027	0	1	4	5
Reading United AC	2010	16	D	Reid, Jack	8		192	0	0	2	3
Reading United AC	2010	18	F	Sapong, Charles	11	11	850	4	3	17	11
Reading United AC	2010	15	D	Schoenle, Eric	9	2	807	1		3	5
Reading United AC	2010	17	F	Schuler, William	8	9	610	4	1	9	1
Reading United AC	2010	3	D	Vila Boa, Mario	8	2	634	1		10	9
Reading United AC	2010	1	GK	Vuolo, Jeremy	14		1236	0	0	0	0
Reading United AC	2010	15	D	Welch, Adam	2	2	180	1		1	1
Reading United AC	2010	10	M	Wenger, James	13	3	1093	1	1	14	11
Reading United AC	2010	6	M	Witmer, Tyler	12	4	405	2	0	14	1
Jersey Express	2010	23	M	Adams, Dominic	8		217	0	0	1	3
Jersey Express	2010	16	M	Alesci, Frank	16	8	1332	3	2	22	8
Jersey Express	2010	18	M	Bigdeli, Farzan	1		27				
Jersey Express	2010		M	Boughton, Gary	3	2	198	1	0	3	1
Jersey Express	2010	24	D	Brown, Shea	1		1	0	0	0	0
Jersey Express	2010	8	D	Damiani, Matia	7	2	567	1	0	2	4
Jersey Express	2010	18	D	Dennen, Christopher	4		149	0	0	1	0
Jersey Express	2010	28	GK	Drozd, Michael	4		360	0	0	0	0
Jersey Express	2010	10	M	Etiene, Kaze	14		699	0	0	3	14
Jersey Express	2010	5	D	Grato, Kyle	13		1071	0	0	2	8
Jersey Express	2010	15	F	Jakubowski, Steven	1		13				
Jersey Express	2010	4	D	Karcz, Christopher	6	6	520	3	0	7	2
Jersey Express	2010	4	M	Konicoff, Michael	9	1	583	0	1	3	3
Jersey Express	2010	14	M	Konopelsky, Andrew Z	16	2	1410	1	0	13	16
Jersey Express	2010	3	D	Kulkov, Arthur	3	1	225	0	1	0	2
Jersey Express	2010	11	D	Laventure, Jerrod	13	16	1013	6	4	32	12
Jersey Express	2010	19	M	Lesmes, Richard	2	1	117	0	1	3	0
Jersey Express	2010	12	M	Maley, Josh	1		33	0	0	0	0
Jersey Express	2010	2	D	Mashriqi, Mohammad	14	3	1188	1	1	5	6
Jersey Express	2010	4	M	Matteo, Jeffrey	1	2	90	1		3	1
Jersey Express	2010	19	D	Mazzullo, Michael	8		269	0	0	2	3
Jersey Express	2010	1	GK	Meara, Ryan	12		1080	0	0	0	0
Jersey Express	2010	9	M	Meyer, Kevin	9	4	764	1	2	10	8
Jersey Express	2010	20	M	Niebles, Hemir	6	5	332	2	1	9	0
Jersey Express	2010	9	F	Ovenseri, Joseph	3	2	150	1	0	7	1
Jersey Express	2010	18	D	Recklet, Shane	9		433	0	0	1	1
Jersey Express	2010	21	F	Rodrigues, Renan	6	2	177	1	0	3	1
Jersey Express	2010	20	M	Sallhag, John	10	10	589	4	2	22	3
Jersey Express	2010	22	D	Sequeira, Leroy	2		2	0	0	0	0
Jersey Express	2010	12	D	Sheleg, Assaf	8		593	0	0	2	4
Jersey Express	2010	7	F	Trott, Josh	16	5	1281	2	1	21	11
Jersey Express	2010	23	M	Youhill, Robert	5	3	405	1	1	4	2
Central Jersey Spartans	2010	29	D	Allen, Robert	6	3	427	1	1	8	4
Central Jersey Spartans	2010	3	F	Angulo, Jose	11	20	772	10	0	45	12
Central Jersey Spartans	2010	25	M	Barbieri, Chase	4		101	0	0	1	0
Central Jersey Spartans	2010	7	M	Becerra, Nelson	9	8	664	0	8	6	6
Central Jersey Spartans	2010	19	D	Burton, Benjamin	4		219				4
Central Jersey Spartans	2010	9	F	Campbell, Thomas	4		202			3	1
Central Jersey Spartans	2010	22	GK	Carr, Zachary	8		480	0	0	0	0
Central Jersey Spartans	2010	2	D	Christian, Chris	13	6	1133	3	0	5	4
Central Jersey Spartans	2010	23	M	Cintron, Marc	3		120			1	3
Central Jersey Spartans	2010	13	M	Clark, Ryan	15	7	1194	3	1	16	14
Central Jersey Spartans	2010	24	M	Crooks, Calvin	1		45				1
Central Jersey Spartans	2010	1	GK	Diaz, Rafael	1		41				
Central Jersey Spartans	2010	26	F	Finley, Ryan	9	8	577	4	0	33	1
Central Jersey Spartans	2010	27	D	Gorskie, Hunter	4		309	0	0	0	0
Central Jersey Spartans	2010	15	M	Hoppenot, Antoine	14	6	712	2	2	14	11
Central Jersey Spartans	2010	20	F	Kinne, Ryan	10	7	797	3	1	22	5
Central Jersey Spartans	2010	18	D	Lewandowski, Jonathan	3		82	0	0	0	0
Central Jersey Spartans	2010	10	M	Martinez, Brayan	12	9	620	3	3	15	8
Central Jersey Spartans	2010	14	M	McCarthy, Kyle	10		624			2	8
Central Jersey Spartans	2010	16	M	McGrath, Justin	2		78				
Central Jersey Spartans	2010	1	GK	Meredith, Bryan	9		645	0	0	0	0
Central Jersey Spartans	2010	21	M	Okafor, Johnathan	4		121	0	0	3	2
Central Jersey Spartans	2010	12	M	Pezza, Michael	4	2	180	1		3	2
Central Jersey Spartans	2010	8	M	Saintil, Jerry	10	1	825	0	1	6	8
Central Jersey Spartans	2010	4	D	Schneider, Theodore	14	1	1170	0	1	0	2
Central Jersey Spartans	2010	0	GK	Schonberg, Grant	3		184				
Central Jersey Spartans	2010	17	M	Sherman, Ryan	1		45				
Central Jersey Spartans	2010	28	F	Stamatis, William	3	1	105	0	1	7	1
Central Jersey Spartans	2010	11	F	Stamatis, John	6	3	231	1	1	7	3
Central Jersey Spartans	2010	5	D	Walburn, Joshua	14		1026	0	0	4	3
Central Jersey Spartans	2010	6	D	Wiltse, Mark	14	1	1054	0	1	1	14
Carolina Dynamo	2010	4	M	Anibaba, Jalil	12	1	1080	0	1	4	7
Carolina Dynamo	2010	16	F	Arguello, Kevin	4		166	0	0	6	1
Carolina Dynamo	2010	3	M	Balugon, Michael	10	1	668		1	1	7
Carolina Dynamo	2010	15	M	Brown, Cameron	4	1	288	0	1	2	0
Carolina Dynamo	2010	27	D	Brunk, Dillon	3	2	58	1	0	1	0
Carolina Dynamo	2010	13	F	Byrd, Kristopher	7		462				2
Carolina Dynamo	2010	23	M	Creavalle, Warren	10	2	500	1		1	1
Carolina Dynamo	2010	9	M	Cuffie-Joseph, Deon	8	3	379		3	1	4
Carolina Dynamo	2010	25	D	Delbono, Luciano	1	2	75	1		2	
Carolina Dynamo	2010	26	GK	Duckworth, Brock	15		1134	0	0	0	1
Carolina Dynamo	2010	24	M	Estridge, Chris	6	7	405	3	1	4	2
Carolina Dynamo	2010	21	F	Garner, Thomas	2		74			2	1
Carolina Dynamo	2010	21	M	Geoffrey, Denis	2		44	0	0	0	1
Carolina Dynamo	2010	18	D	Harrison, Brian	10		532	0	0	3	1
Carolina Dynamo	2010	10	M	Jata, Richard	14	3	673	1	1	33	11
Carolina Dynamo	2010	21	F	Johnson, Ryan	4		136			1	
Carolina Dynamo	2010	22	D	Linville, Mark	13		1096	0	0	4	5
Carolina Dynamo	2010	0	GK	Long, Alexander	6		352				
Carolina Dynamo	2010	5	M	McCarthy, Stephen	9	9	619	4	1	16	2
Carolina Dynamo	2010	7	D	McCarty, Mark	12	1	953	0	1	2	2
Carolina Dynamo	2010	19	D	McLeod, Randy	1		90				
Carolina Dynamo	2010	19	M	Millard, Mark	3		42				
Carolina Dynamo	2010	21	M	Newnam, Tyler	2		70				
Carolina Dynamo	2010	4	D	O'Keeffe, Edward	1		90				1
Carolina Dynamo	2010	17	D	Okiomah, Karo	11	14	804	6	2	26	10
Carolina Dynamo	2010	14	D	Okiomah, Fejiro	9	1	646	0	1	8	6
Carolina Dynamo	2010	5	D	Ray, Todd	2		180				
Carolina Dynamo	2010	13	F	Rice, Josh	6	10	353	5	0	10	8
Carolina Dynamo	2010	8	M	Roberts, Daniel	4		244			5	1
Carolina Dynamo	2010	11	M	Rojo, Scott	16	14	1162	3	8	19	4
Carolina Dynamo	2010	15	D	Rose, David	4	2	284	1		1	2
Carolina Dynamo	2010	20	M	Smith, Donnie	9		434	0	0	2	1
Carolina Dynamo	2010	6	D	Smith, Indy	11	1	774	0	1	0	3
Carolina Dynamo	2010	2	D	Stam, Kevin	6		231			2	
Carolina Dynamo	2010	5	D	Strine, Matt	1		90				
Carolina Dynamo	2010	12	M	Wolfe, Tanner	9	11	691	4	3	20	3
Northern Virginia Royals	2010		M	Brady, Matthew	3		177	0	0	7	1
Northern Virginia Royals	2010	0	M	Bresnahan, Christopher	4		193	0	0	0	1
Northern Virginia Royals	2010	20	M	Davin, James	6	2	466	1	0	12	4
Northern Virginia Royals	2010	1	GK	Dawson, Jon	4		348	0	0	0	1
Northern Virginia Royals	2010	18	D	Duran, Steven	9	3	738	0	3	10	15
Northern Virginia Royals	2010	15	M	Edgar, Richard	12	7	1043	2	3	6	12
Northern Virginia Royals	2010	21	D	Foss, Michael	7		544	0	0	7	4
Northern Virginia Royals	2010		M	Freeman, Victor	2		79	0	0	2	1
Northern Virginia Royals	2010	26	D	Goldman, Seth	8	2	600	1	0	1	0
Northern Virginia Royals	2010	14	D	Green, Michael	2		180			2	
Northern Virginia Royals	2010	28	M	Hajjar, Elias	6		375	0	0	3	0
Northern Virginia Royals	2010	24	M	Han, Anthony	8	4	260	2	0	11	7
Northern Virginia Royals	2010	1	GK	Helmic, Joel	3		270	0	0	0	0
Northern Virginia Royals	2010	10	M	Hughes, Maurice	9	7	607	3	1	16	0
Northern Virginia Royals	2010	17	M	Kapus, Nikolay	7		138	0	0	3	4
Northern Virginia Royals	2010	12	F	Kaweesi-Katongole, Stanley	13	15	1069	7	1	31	19
Northern Virginia Royals	2010	31	GK	Lockwood, Harry	5		450	0	0	0	0
Northern Virginia Royals	2010	30	M	Macnamara, Gregory	1		16	0	0	0	0
Northern Virginia Royals	2010	11	M	Marino, Michael	2		42	0	0	1	0
Northern Virginia Royals	2010		M	Marquez, Ernesto	3		153	0	0	6	0
Northern Virginia Royals	2010	6	M	Morris, Thomas	2		7				
Northern Virginia Royals	2010	13	D	O'Reilly, Sean	11		779	0	0	6	9
Northern Virginia Royals	2010	25	D	Procter, William	5		308	0	0	1	1
Northern Virginia Royals	2010	8	M	Renfrow, Grady	14	1	1260	0	1	16	8
Northern Virginia Royals	2010	4	D	Shaban, Ronald	7		284	0	0	4	0
Northern Virginia Royals	2010	22	F	Shannon, James	8	2	478	1	0	2	2
Northern Virginia Royals	2010	7	M	Sheta, Kareem	5		272	0	0	1	4
Northern Virginia Royals	2010	2	M	Sheta, Ahmed	10	4	505	2	0	18	9
Northern Virginia Royals	2010	29	D	Sylvester, Nicholas	1		31			1	
Northern Virginia Royals	2010	27	F	Thomas, Chris	9	3	426	1	1	8	3
Northern Virginia Royals	2010		D	Wagoner, Steven	1		1	0	0	0	0
Northern Virginia Royals	2010	3	F	Walton, Parker	4	1	85		1	1	1
Northern Virginia Royals	2010	32	D	Ward, Zachary	4		282	0	0	1	0
Northern Virginia Royals	2010	16	M	Weeg, Jan	2		31				1
Northern Virginia Royals	2010	9	M	Wysacki, Mark	2		4				
Northern Virginia Royals	2010		M	Yasur, Dor	2		144				
Northern Virginia Royals	2010	19	M	Young, Irad	3		154	0	0	2	1
Northern Virginia Royals	2010	23	D	Zuehsow, Eric	9		810	0	0	2	4
West Virginia Chaos	2010	17	F	Barber, Joseph	12	2	597	1		11	4
West Virginia Chaos	2010	7	D	Bohach, Chris	12		751			5	3
West Virginia Chaos	2010	2	M	Clark, Justin	14	6	1060	2	2	17	10
West Virginia Chaos	2010	15	D	Curnutte, Levi	4		214				3
West Virginia Chaos	2010	20	M	Davies, Jamie Lee	14	5	1154	2	1	24	13
West Virginia Chaos	2010	31	D	Dragisic, Mile	6		540			1	5
West Virginia Chaos	2010	12	F	Garton, Justin	14	5	691	2	1	18	7
West Virginia Chaos	2010	8	M	Goldie, Adam	14	7	1067	3	1	16	11
West Virginia Chaos	2010	16	F	Hantes, Sean	13	1	634		1	7	4
West Virginia Chaos	2010	15	D	Harries, Neil	6	1	540		1	1	7
West Virginia Chaos	2010	4	F	Ivanovic, Predrag	10	2	586	1		8	6
West Virginia Chaos	2010	14	M	Johnson, Richard	15	6	1275	3		12	12
West Virginia Chaos	2010	11	M	Lewis, Dillan	5		116			2	
West Virginia Chaos	2010	1	GK	Lower, Jordan	6		540			1	
West Virginia Chaos	2010	34	M	McKinney, Horton	6		190			1	3
West Virginia Chaos	2010	15	F	Mcdonald, Deric	3		60				2
West Virginia Chaos	2010	23	F	Messick, Ryan	4		27				
West Virginia Chaos	2010	0	GK	Mitchell, Adam	9		810				
West Virginia Chaos	2010	11	F	Peters, Dion	1		90			3	
West Virginia Chaos	2010	19	F	Ross, Alex	4		24				1
West Virginia Chaos	2010	3	D	Stapleton, James	14		1184			10	1
West Virginia Chaos	2010	5	D	Tesh, Jerry	8		712			4	9
West Virginia Chaos	2010	6	M	Vincent, Robert	7	4	489	2		10	6
West Virginia Chaos	2010	9	M	Whalley, Christopher	4	4	271	2	0	3	2
West Virginia Chaos	2010	10	F	Williams, Dylan	4		207			1	1
West Virginia Chaos	2010	18	D	Young, Marc	9	2	789	1		5	12
Virginia Beach Piranhas	2010	18	D	Acosta, Robert	16		1231			2	9
Virginia Beach Piranhas	2010	23	F	Barbosa, Renato	16	6	1256	3		14	17
Virginia Beach Piranhas	2010	1	GK	Benham, Tyler	9		650				
Virginia Beach Piranhas	2010	14	M	Clare, Tyler	6	3	361	1	1	7	4
Virginia Beach Piranhas	2010	23	M	Corliss, Jacob	8	1	440		1	1	3
Virginia Beach Piranhas	2010	9	M	Cunningham, Brian	6		188			1	1
Virginia Beach Piranhas	2010	12	F	Cyrus, Jordan	7	2	359	1		12	1
Virginia Beach Piranhas	2010	11	M	Cyrus, Tyler	10	3	842	1	1	8	20
Virginia Beach Piranhas	2010	8	M	Dimas, Ari	5	2	394	1		5	8
Virginia Beach Piranhas	2010	6	D	Diomande, Daouda	10		440				13
Virginia Beach Piranhas	2010	23	M	Duffie, Ritchie	4		210			1	1
Virginia Beach Piranhas	2010	7	M	Foglesong, Nicholas	3		155				1
Virginia Beach Piranhas	2010	3	F	Gillespie, Harry	8		161			2	1
Virginia Beach Piranhas	2010		F	Grumney, Jordan	1		23				
Virginia Beach Piranhas	2010	10	F	Harris, Kevon	4	4	315	2		12	6
Virginia Beach Piranhas	2010	22	M	Holder, Ian	6	1	290		1	3	2
Virginia Beach Piranhas	2010	13	M	Iotte, Bryan	16	4	1052	2		9	11
Virginia Beach Piranhas	2010	4	M	Knight, Austin	7		212			3	2
Virginia Beach Piranhas	2010	15	F	Kone, Mamadou	16	8	972	4		26	19
Virginia Beach Piranhas	2010	16	D	Menacho, Wilver	14		1163			7	6
Virginia Beach Piranhas	2010	20	M	Merkes, Cody	10		554				4
Virginia Beach Piranhas	2010	17	F	Nweke, Charles	6		229			4	4
Virginia Beach Piranhas	2010	5	M	Pierce, Devin	14	6	987	3		12	4
Virginia Beach Piranhas	2010	2	M	Schmitt, Thomas	12	4	870	1	2	12	14
Virginia Beach Piranhas	2010	21	D	Van Dyck, Tom	9		277				5
Virginia Beach Piranhas	2010	3	D	Webb, Thomas	15		1350			9	20
Virginia Beach Piranhas	2010	0	GK	Zmuda, Ryan	10		790				
New Jersey Rangers	2010	14	D	Andre, Luis	9		717	0	0	1	7
New Jersey Rangers	2010	12	D	Bento, Micheal	4		75	0	0	0	0
New Jersey Rangers	2010	8	D	Brito, Alex	14		1208	0	0	1	6
New Jersey Rangers	2010	2	D	Cunha, Phillip	12	1	956	0	1	2	9
New Jersey Rangers	2010	20	F	DaSilva, Rui	2		60				
New Jersey Rangers	2010	3	D	Diamond, Cory	5		366	0	0	0	1
New Jersey Rangers	2010	21	D	Giannetti, Matt	7		345	0	0	3	2
New Jersey Rangers	2010	28	GK	Gnall, Matt	7		630	0	0	0	0
New Jersey Rangers	2010	26	GK	Gorski, Ryszard	7		630	0	0	0	0
New Jersey Rangers	2010	16	M	Gorskie, Jason	14	2	1206	1	0	13	14
New Jersey Rangers	2010	4	M	Keker, Steven	8	1	316	0	1	5	4
New Jersey Rangers	2010	5	M	Lopes, Christopher	1		80				
New Jersey Rangers	2010	10	F	Malijani, Samson	12	12	968	5	2	29	5
New Jersey Rangers	2010	9	M	Munoz, Sergio	13		674	0	0	10	1
New Jersey Rangers	2010	19	D	Nolan, John	5		206	0	0	0	3
New Jersey Rangers	2010	18	F	Pacheco, Gregorio	13	1	244	0	1	5	3
New Jersey Rangers	2010	20	M	Petrone, Samuel	10	2	620	1	0	18	3
New Jersey Rangers	2010	28	GK	Prasovic, Elvir	1		21				
New Jersey Rangers	2010	26	GK	Purdy, Adam	1		90				
New Jersey Rangers	2010	6	M	Rasoilo, Daniel	13		1005	0	0	7	8
New Jersey Rangers	2010	13	F	Reinold, Dominic	10	14	714	6	2	28	9
New Jersey Rangers	2010	23	M	Ringheim, Averil	4		244			2	2
New Jersey Rangers	2010	9	F	Sela, Dritan	7	4	438	2	0	12	2
New Jersey Rangers	2010	24	M	Silver, Alex	9	3	668	1	1	7	7
New Jersey Rangers	2010	17	D	Vilar, Pedro	11	1	941	0	1	1	2
New Jersey Rangers	2010	2	D	Wells, Jason	9		711	0	0	1	3
New Jersey Rangers	2010	11	M	Whipple, Nicholas	11		595	0	0	8	2
New Jersey Rangers	2010	18	M	Zalewski, Kevin	4		140			2	1
Bermuda Hogges	2010	19	D	Alexander, Logan	6		242	0	0	0	2
Bermuda Hogges	2010	18	F	Andrade, Daniel	4		172	0	0	2	3
Bermuda Hogges	2010	2	D	Bather, Jaylon	12		786	0	0	3	5
Bermuda Hogges	2010	10	F	Bean, Wayne	15	6	1157	3	0	33	11
Bermuda Hogges	2010	12	GK	Bell, Tahj	3		210	0	0	0	0
Bermuda Hogges	2010	15	M	Burgess, Tyrell	7	1	583		1	11	12
Bermuda Hogges	2010	2	D	Cox, Darius	8	2	655	0	2	0	4
Bermuda Hogges	2010	20	M	Darrell, Seion	14		1068	0	0	4	10
Bermuda Hogges	2010	16	D	Deshields, Rakeem	7	1	403		1		4
Bermuda Hogges	2010	4	D	Dyer, George Jr.	3		250	0	0	1	2
Bermuda Hogges	2010	16	M	Gibbons-Richardson, Ajani	6		324	0	0	0	1
Bermuda Hogges	2010	1	GK	Hall, Fredrick	11		960	0	0	0	0
Bermuda Hogges	2010	11	F	Hollis, Shayne	13	2	611	1	0	10	2
Bermuda Hogges	2010	1	GK	Johnson, Daniel	2		135				
Bermuda Hogges	2010	19	D	Lee, Roger	9		579	0	0	2	10
Bermuda Hogges	2010	17	M	Maynard, Quadir	6		236	0	0	7	5
Bermuda Hogges	2010	17	M	Ming, Damon	14		1148	0	0	12	17
Bermuda Hogges	2010	17	F	Minors, Jair	1		12	0	0	0	0
Bermuda Hogges	2010	6	M	Peniston, Jared	7		208	0	0	1	4
Bermuda Hogges	2010	1	GK	Richardson, Corey	2		49				
Bermuda Hogges	2010	9	F	Signor, Earnest Jr.	11		565	0	0	1	2
Bermuda Hogges	2010	9	F	Simmons, Angelo	7		518			3	1
Bermuda Hogges	2010	3	D	Tankard, Devrae	10		810	0	0	0	5
Bermuda Hogges	2010	13	M	Trott, Ernest	2		75	0	0	0	0
Bermuda Hogges	2010	14	M	Tucker, Troy	14		1030	0	0	12	16
Bermuda Hogges	2010	18	D	Waldron, Marquel	13		967	0	0	0	7
Bermuda Hogges	2010	11	D	Walker, Tekeyhi	4		227			8	
Bermuda Hogges	2010	8	F	Wells, Nahki	9	4	610	2	0	28	7
Ottawa Fury	2010	21	F	Babineau, Olivier	12	5	684	1	3	18	6
Ottawa Fury	2010	4	F	Bachar, Danny	10	2	605	0	2	2	8
Ottawa Fury	2010	9	M	Beauge, William	14	23	1070	11	1	29	15
Ottawa Fury	2010	18	M	Boulanger, Etienne	6		126	0	0	0	2
Ottawa Fury	2010	13	M	Caceros, Kenneth	14	8	961	2	4	21	13
Ottawa Fury	2010	19	D	Chamney, Brien	16	4	1244	0	4	5	15
Ottawa Fury	2010	11	M	Dasah, Justin	9	1	486	0	1	11	6
Ottawa Fury	2010	27	M	Drake, Zachary	1		7				
Ottawa Fury	2010	32	D	Forsberg, Xavier	10	1	750	0	1	5	8
Ottawa Fury	2010	0	GK	Heembrock, Brandon	4		360	0	0	0	0
Ottawa Fury	2010	2	D	LeRoy, Adrian	13		1143	0	0	1	9
Ottawa Fury	2010	22	D	LoCoco, Nicholas	1		26				1
Ottawa Fury	2010	14	M	Mellor, Tom	6		288			4	6
Ottawa Fury	2010	17	F	Murphy, Robert	2		135			2	1
Ottawa Fury	2010	1	GK	Murphy, Andrew	12		1080	0	0	0	0
Ottawa Fury	2010	25	D	Pound, Sean	2		135				1
Ottawa Fury	2010	6	D	Pradie, Alexis	12	7	1080	3	1	5	10
Ottawa Fury	2010	15	M	Rigby, Matthew	13	2	561	0	2	6	6
Ottawa Fury	2010	10	M	Rigby, Andrew	10	1	681		1	4	8
Ottawa Fury	2010	3	D	Ruesgen, Joseph	15		1100	0	0	7	10
Ottawa Fury	2010	16	F	Sabadoz, Robbie	11	5	441	2	1	14	1
Ottawa Fury	2010	12	M	Soglo, Edgar	7	2	307	1	0	6	5
Ottawa Fury	2010	23	F	Struthers, Kevin	13	14	920	7	0	28	24
Ottawa Fury	2010	5	M	Theissen, Joel	15	5	1176	0	5	24	19
Ottawa Fury	2010	7	F	Yoffe, Joseph	8	11	550	5	1	21	9
GPS Portland Phoenix	2010	23	F	Akinsanya, Ade	3		100			3	5
GPS Portland Phoenix	2010	18	F	Banks, Chris	11	19	651	9	1	34	8
GPS Portland Phoenix	2010	2	M	Burnham, Ryan	3		49				1
GPS Portland Phoenix	2010	1	GK	Cunnings, Collin	3		197				
GPS Portland Phoenix	2010	11	M	Donald, Michael	16	9	1412	3	3	20	4
GPS Portland Phoenix	2010	24	D	Gaul, Bryan	14	2	1053		2	22	8
GPS Portland Phoenix	2010	15	D	Gorman, Taylor	7		163			1	2
GPS Portland Phoenix	2010	22	M	Goulet, Marc	1		3				
GPS Portland Phoenix	2010	15	D	Havey, Benjamin	5	2	326	1		4	1
GPS Portland Phoenix	2010	2	D	Henry, Colin	4		360				2
GPS Portland Phoenix	2010	20	D	Hilton, Brad	13		993			2	4
GPS Portland Phoenix	2010	26	F	Hoffman-Johnson, Gabriel	2		15				
GPS Portland Phoenix	2010	12	M	Kennedy, Michael	16	9	1293	3	3	21	12
GPS Portland Phoenix	2010	16	M	Lynch, Eoin	2		9			1	
GPS Portland Phoenix	2010	5	D	Machinguata, Tapiwa	4		195			1	2
GPS Portland Phoenix	2010	7	M	Massie, Jason	15	12	1350	4	4	23	18
GPS Portland Phoenix	2010	19	D	Nicholsen, Paul	16	3	1440	1	1	11	14
GPS Portland Phoenix	2010	1	GK	O'Donnell, Colin	2		85				
GPS Portland Phoenix	2010	10	F	O'Neal, Aaron	7	4	334	1	2	9	
GPS Portland Phoenix	2010	26	M	Omsberg, Cameron	2	2	34	1		2	1
GPS Portland Phoenix	2010	6	D	Reilly, Tom	15	1	1305		1	4	11
GPS Portland Phoenix	2010	14	M	Rothkopft, Ian	14	6	578	3		12	9
GPS Portland Phoenix	2010	25	D	Skayne, Christopher	6		214			1	2
GPS Portland Phoenix	2010	3	D	Spendlove, Chris	14	4	1232	1	2	14	4
GPS Portland Phoenix	2010	0	GK	Thompson, Ryan	12		955				
GPS Portland Phoenix	2010	4	D	Tyler, Brandon	4		338				4
GPS Portland Phoenix	2010	8	F	Weightman, Nicholas	11	18	846	8	2	30	6
GPS Portland Phoenix	2010	0	GK	Williams, Matt	3		203				
GPS Portland Phoenix	2010	27	F	Yeboah, Anthony	3		94			2	1
Albany BWP Highlanders	2010	12	D	Britt, Austin	13		417			1	5
Albany BWP Highlanders	2010	3	D	Burke, David	15		1313			1	12
Albany BWP Highlanders	2010	22	F	Chung, David	2	4	103	2		2	3
Albany BWP Highlanders	2010	6	M	Clancy, Kyle	13	15	1119	3	9	10	5
Albany BWP Highlanders	2010	13	F	Clemens, David	5	4	189	1	2	6	5
Albany BWP Highlanders	2010		M	Costello, Adam	2		180			2	
Albany BWP Highlanders	2010	10	F	Curley, James	9	6	629	3		9	15
Albany BWP Highlanders	2010	8	M	Cutler, Bruce	16	7	1373	1	5	13	10
Albany BWP Highlanders	2010	14	M	DeMello, Sam	14	5	900	2	1	10	3
Albany BWP Highlanders	2010	14	M	Esper, Taylor	1		1				
Albany BWP Highlanders	2010	13	F	Gallusser, Aaron	6		110			3	3
Albany BWP Highlanders	2010	11	F	Gorman, Brendan	15	16	1248	5	6	30	30
Albany BWP Highlanders	2010		F	Gregg, Joshua	1		9				
Albany BWP Highlanders	2010	17	M	Hobbs, Christopher	10	1	368		1	1	8
Albany BWP Highlanders	2010	15	D	Huxtable, Clifton	9		506			2	7
Albany BWP Highlanders	2010	18	D	Jallow, Essaha	9	2	675	1		2	3
Albany BWP Highlanders	2010		D	Jankovic, Milos	2		135				
Albany BWP Highlanders	2010	3	D	Jasenski, Lawrence	13		1167				16
Albany BWP Highlanders	2010	0	GK	Jones, Ryan	3		270				
Albany BWP Highlanders	2010	19	F	Jusic, Alen	7		108				1
Albany BWP Highlanders	2010	2	D	Klim, Thomas	11	2	764	1		3	4
Albany BWP Highlanders	2010	19	M	Knezevic, Darko	9		328			3	1
Albany BWP Highlanders	2010	16	D	Lloyd, Gregory	3		19				
Albany BWP Highlanders	2010		D	Lontrato, Joseph	1		39				
Albany BWP Highlanders	2010	4	D	Millock, Robert	8		558			4	5
Albany BWP Highlanders	2010	1	GK	Perron, Adam	10		751			2	
Albany BWP Highlanders	2010	9	M	Popolizio, Teodoro	15	18	1258	8	2	13	15
Albany BWP Highlanders	2010	7	M	Sgueglia, Roberto	12	10	733	5		12	12
Albany BWP Highlanders	2010	0	GK	Viscosi, Jonathan	7		420			1	
Albany BWP Highlanders	2010	16	M	Vitale, Domenico	6		99				
Albany BWP Highlanders	2010	13	D	Zieff, Gabriel	3		32				1
Long Island Rough Riders	2010	17	D	Arikian, Shane	2		123			1	
Long Island Rough Riders	2010	10	M	Arikian, Ben	15	12	1320	5	2	31	27
Long Island Rough Riders	2010	13	M	Barberio, Anthony	1		45				
Long Island Rough Riders	2010	19	F	Barea, Stephan	5	2	222	1		7	4
Long Island Rough Riders	2010	15	D	Bernstein, Rhett	7		613			5	12
Long Island Rough Riders	2010	2	D	Castaneda, Pavelid	7		475	0	0	1	3
Long Island Rough Riders	2010	12	GK	Corke, Justin	1		90				
Long Island Rough Riders	2010	8	M	Costigliola, Frank	8	2	576	1	0	3	12
Long Island Rough Riders	2010	25	M	Craft, Bryant	11	2	609	1		10	9
Long Island Rough Riders	2010	20	D	Craven, Samuel	14	4	1025	1	2	2	11
